지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm)
119,수원,2025-06-09 12:00,26.8,,54,
119,수원,2025-06-09 13:00,27.4,,49,
119,수원,2025-06-09 14:00,27.8,,48,
119,수원,2025-06-09 15:00,28.4,,48,
119,수원,2025-06-09 16:00,29,,39,
119,수원,2025-06-09 17:00,27.3,,60,
119,수원,2025-06-09 18:00,24.9,,68,
119,수원,2025-06-09 19:00,22.7,,75,
119,수원,2025-06-09 20:00,21.1,,81,
119,수원,2025-06-09 21:00,20.3,,86,
119,수원,2025-06-09 22:00,19.5,,88,
119,수원,2025-06-09 23:00,19,,90,
119,수원,2025-06-10 00:00,18.8,,92,
119,수원,2025-06-10 01:00,18.6,,91,
119,수원,2025-06-10 02:00,18.8,,92,
119,수원,2025-06-10 03:00,19.2,,91,
119,수원,2025-06-10 04:00,19,,92,
119,수원,2025-06-10 05:00,18.6,,93,
119,수원,2025-06-10 06:00,19,,90,
119,수원,2025-06-10 07:00,20.1,,85,
119,수원,2025-06-10 08:00,20.8,,83,
119,수원,2025-06-10 09:00,21.9,,78,
119,수원,2025-06-10 10:00,23,,70,
119,수원,2025-06-10 11:00,22.5,,71,
119,수원,2025-06-10 12:00,21,,77,
119,수원,2025-06-10 13:00,21.3,,78,
119,수원,2025-06-10 14:00,21.5,,75,
119,수원,2025-06-10 15:00,21.9,,75,
119,수원,2025-06-10 16:00,23.8,,65,
119,수원,2025-06-10 17:00,23.7,,63,
119,수원,2025-06-10 18:00,22.4,,68,
119,수원,2025-06-10 19:00,20.6,,71,
119,수원,2025-06-10 20:00,19.5,,75,
119,수원,2025-06-10 21:00,18,,76,
119,수원,2025-06-10 22:00,17.3,,79,
119,수원,2025-06-10 23:00,16.8,,79,
119,수원,2025-06-11 00:00,16.1,,83,
119,수원,2025-06-11 01:00,15.6,,87,
119,수원,2025-06-11 02:00,14.9,,89,
119,수원,2025-06-11 03:00,14.4,,91,
119,수원,2025-06-11 04:00,13.9,,93,
119,수원,2025-06-11 05:00,13.5,,94,
119,수원,2025-06-11 06:00,14.1,,95,
119,수원,2025-06-11 07:00,16.8,,83,
119,수원,2025-06-11 08:00,19.7,,75,
119,수원,2025-06-11 09:00,21.4,,62,
119,수원,2025-06-11 10:00,22.9,,51,
119,수원,2025-06-11 11:00,25.1,,44,
119,수원,2025-06-11 12:00,26.1,,38,
119,수원,2025-06-11 13:00,26.8,,33,
119,수원,2025-06-11 14:00,26.8,,31,
119,수원,2025-06-11 15:00,26.7,,33,
119,수원,2025-06-11 16:00,26.6,,35,
119,수원,2025-06-11 17:00,25.7,,34,
119,수원,2025-06-11 18:00,25.5,,32,
119,수원,2025-06-11 19:00,23.3,,44,
119,수원,2025-06-11 20:00,21.7,,47,
119,수원,2025-06-11 21:00,20.6,,52,
119,수원,2025-06-11 22:00,19.6,,58,
119,수원,2025-06-11 23:00,18.2,,67,
119,수원,2025-06-12 00:00,18,,68,
119,수원,2025-06-12 01:00,17.3,,72,
119,수원,2025-06-12 02:00,16.9,,76,
119,수원,2025-06-12 03:00,16.7,,80,
119,수원,2025-06-12 04:00,15.8,,86,
119,수원,2025-06-12 05:00,15.4,,88,
119,수원,2025-06-12 06:00,15.7,,90,
119,수원,2025-06-12 07:00,19.4,,70,
119,수원,2025-06-12 08:00,21.3,,63,
119,수원,2025-06-12 09:00,23.6,,48,
119,수원,2025-06-12 10:00,25.3,,44,
119,수원,2025-06-12 11:00,27.1,,39,
119,수원,2025-06-12 12:00,28.5,,36,
119,수원,2025-06-12 13:00,29.4,,32,
119,수원,2025-06-12 14:00,30.1,,31,
119,수원,2025-06-12 15:00,30.4,,27,
119,수원,2025-06-12 16:00,30.5,,29,
119,수원,2025-06-12 17:00,29.9,,38,
119,수원,2025-06-12 18:00,28.3,,40,
119,수원,2025-06-12 19:00,27.1,,44,
119,수원,2025-06-12 20:00,25.2,,52,
119,수원,2025-06-12 21:00,23.1,,62,
119,수원,2025-06-12 22:00,22.2,,68,
119,수원,2025-06-12 23:00,21.8,,64,
119,수원,2025-06-13 00:00,20.9,,70,
119,수원,2025-06-13 01:00,19.9,,75,
119,수원,2025-06-13 02:00,19.6,,78,
119,수원,2025-06-13 03:00,19.5,,78,
119,수원,2025-06-13 04:00,18.8,,80,
119,수원,2025-06-13 05:00,18.3,,83,
119,수원,2025-06-13 06:00,18.7,,82,
119,수원,2025-06-13 07:00,20.5,,75,
119,수원,2025-06-13 08:00,22.6,,65,
119,수원,2025-06-13 09:00,23.6,,57,
119,수원,2025-06-13 10:00,24.9,,51,
119,수원,2025-06-13 11:00,25.7,,47,
119,수원,2025-06-13 12:00,26.7,,45,
119,수원,2025-06-13 13:00,27.1,,44,
119,수원,2025-06-13 14:00,27.6,,44,
119,수원,2025-06-13 15:00,26.9,,50,
119,수원,2025-06-13 16:00,24.5,,57,
119,수원,2025-06-13 17:00,22.4,0,69,
119,수원,2025-06-13 18:00,21,.4,81,
119,수원,2025-06-13 19:00,20.3,2,90,
119,수원,2025-06-13 20:00,20.3,1.3,88,
119,수원,2025-06-13 21:00,19.7,.1,88,
119,수원,2025-06-13 22:00,19.9,0,82,
119,수원,2025-06-13 23:00,19.8,.5,87,
119,수원,2025-06-14 00:00,19.8,.2,87,
119,수원,2025-06-14 01:00,19.9,,88,
119,수원,2025-06-14 02:00,19.2,.1,93,
119,수원,2025-06-14 03:00,19.1,0,92,
119,수원,2025-06-14 04:00,19.8,,89,
119,수원,2025-06-14 05:00,19.8,,90,
119,수원,2025-06-14 06:00,20,,89,
119,수원,2025-06-14 07:00,20.3,,87,
119,수원,2025-06-14 08:00,21,,84,
119,수원,2025-06-14 09:00,22.4,,79,
119,수원,2025-06-14 10:00,24.4,,70,
119,수원,2025-06-14 11:00,26.3,,65,
119,수원,2025-06-14 12:00,27,,62,
119,수원,2025-06-14 13:00,27.9,,59,
119,수원,2025-06-14 14:00,28.7,,56,
119,수원,2025-06-14 15:00,29.9,,53,
119,수원,2025-06-14 16:00,29.8,,51,
119,수원,2025-06-14 17:00,28.7,,59,
119,수원,2025-06-14 18:00,27.7,,57,
119,수원,2025-06-14 19:00,25.7,,61,
119,수원,2025-06-14 20:00,22.9,,71,
119,수원,2025-06-14 21:00,22,,75,
119,수원,2025-06-14 22:00,21.6,,77,
119,수원,2025-06-14 23:00,20.2,,84,
119,수원,2025-06-15 00:00,19.9,,84,
119,수원,2025-06-15 01:00,20.5,,83,
119,수원,2025-06-15 02:00,20.1,,85,
